00027482	00224	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00027622	00225	tx	[0x3F]
00027684	00226	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:0.000,0.000,0.000>\r
00027823	00227	tx	[0x3F]
00027884	00228	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00028023	00229	tx	[0x3F]
00028084	00230	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00028222	00231	tx	[0x3F]
00028282	00232	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00028422	00233	tx	[0x3F]
00028486	00234	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00028512	00235	tx	G92X0Y0Z0\n
00028569	00236	rx	ok\r
00028622	00237	tx	[0x3F]
00028684	00238	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00028823	00239	tx	[0x3F]
00028882	00240	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00029022	00241	tx	[0x3F]
00029081	00242	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00029222	00243	tx	[0x3F]
00029281	00244	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00029422	00245	tx	[0x3F]
00029481	00246	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00029623	00247	tx	[0x3F]
00029683	00248	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00029823	00249	tx	[0x3F]
00029885	00250	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|Ov:100,100,100>\r
00030023	00251	tx	[0x3F]
00030084	00252	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00030222	00253	tx	[0x3F]
00030282	00254	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00030422	00255	tx	[0x3F]
00030484	00256	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00030622	00257	tx	[0x3F]
00030703	00258	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0|WCO:387.013,11.813,0.000>\r
00030822	00259	tx	[0x3F]
00030892	00260	rx	<Idle|MPos:387.013,11.813,0.000|FS:0,0>\r
00031023	00261	tx	[0x3F]
